Lemma	Nn	Ndn
Abbildung	0	6
Abenteuer	0	0
Abfall	204	6
Abiturient	3	9
Abmessung	0	1
Abstecher	0	0
Affe	113	8
Affenmensch	2	0
Agentur	1	2
Aktfotografie	0	0
Aktiengesellschaft	1	0
Amazone	1	0
Aminosäure	6	1
Analphabet	2	102
Anbieterin	0	0
Anfänger	0	1
Anforderung	24	5
Angabe	0	0
Angebot	2	205
Anhänger	66	54
Anruf	0	13
Anschlag	1	93
Anteil	0	0
Apfel	510	2
Apfelsine	1	0
Apparatur	0	0
Arbeiter	43	64
Arbeitsplatz	4	19
Argument	83	2
Arie	0	0
Arschloch	11	0
Art	0	61
Artikel	185	325
Arzneimittel	0	28
Assoziation	0	6
Ast	0	0
Athlet	0	0
Atom	8	0
Attacke	8	42
Aufführung	0	1
Aufgabe	130	299
Aufputschmittel	0	0
Auftritt	0	52
Ausflugsziel	0	0
Ausgabe	0	7
Ausländer	17	35
Aussage	0	17
Ausscheidung	0	0
Auswirkung	0	2
Autor	38	5
Autorin	0	0
Änderung	67	7
Backstein	1	1
Bank	19	0
Banknote	0	3
Batterie	0	2
Bau	0	0
Bauarbeiter	5	0
Bauer	22	1
Bauhandwerker	0	0
Bauteil	11	14
Bauwerk	0	11
Begegnung	0	11
Begriff	0	53
Behauptung	0	0
Behausung	0	1
Beispiel	7	28
Beitrag	1	1
Bengel	0	0
Beobachtung	0	16
Berg	0	0
Berufskollege	0	0
Besucher	358	967
Bewohner	7	21
Bewohnerin	0	1
Biene	1	0
Bier	0	13
Bierbauch	0	0
Bild	1062	881
Birne	30	0
Biskuit	1	0
Blech	0	0
Block	0	0
Blog	8	0
Blogger	8	1
Blume	2	13
Blüte	18	3
Bohne	82	3
Bonbon	63	2
Bote	0	1
Brennelement	3	0
Brötchen	33	0
Brummbär	0	0
Buch	20	204
Bürger	16	34
Champignon	292	0
Chance	6	15
Charakter	0	0
Chemikalie	46	5
Chip	666	0
Chor	0	0
Christ	12	0
Clown	1	0
Dackel	0	0
Dame	6	1
Damm	0	0
Dattel	19	0
Datum	52	175
Depp	0	0
Design	0	0
Designer	3	2
Detail	234	56
Dienstleistung	0	0
Dienstwaffe	0	0
Ding	5	3
Dinosaurier	2	0
Dokument	40	13
Dorfbewohner	9	6
Ebene	0	0
Effekt	1	26
Ehrengast	1	0
Ei	14	0
Eindruck	0	85
Einrichtung	0	2
Einstellung	2	17
Einwohner	9	1372
Einzelheit	0	0
Eisen	1	0
Eiskristall	0	0
Elektron	22	165
Elektronik	13	0
Elfe	3	0
Emotion	1	0
Empfehlung	1	0
Engel	19	41
Engländer	5	1
Entdeckung	0	4
Entscheidung	40	5
Ereignis	0	41
Erfahrung	349	17
Erfolg	0	0
Erinnerung	1	0
Erkenntnis	0	16
Erkrankung	4	19
Erlebnis	0	26
Erweiterung	4	0
Esel	6	1
Essay	6	7
Event	0	8
Exemplar	0	0
Exkursion	0	2
Experiment	0	0
Experte	16	0
Exponat	0	13
Fabrikat	0	0
Fachbegriff	0	4
Fachkraft	1	70
Fahrer	0	1
Faktum	87	11
Fall	41	506
Fan	416	38
Farbe	0	0
Fassung	0	0
Faulenzer	0	0
Feature	1	15
Fehler	0	3
Feige	9	0
Feind	5	4
Fell	2	0
Figur	0	24
Film	2	0
Firma	35	67
Fisch	9	7
Flasche	0	0
Flecken	8	1
Flug	1	175
Flüchtling	9	457
Folge	0	0
Forderung	0	0
Foto	932	27
Fördermittel	0	1
Frage	1749	41
Franzose	0	6
Frau	257	309
Fremde	2	0
Fresko	0	1
Freund	1	5
Frucht	65	10
Fundament	0	16
Funktion	6	57
Gabe	0	0
Ganove	1	0
Gans	36	4
Gartenhaus	0	2
Gas	0	3
Gast	26	620
Gebäude	0	48
Gebiet	0	6
Gedanke	2	3
Gedicht	1	167
Gegenstand	1	56
Gegner	54	4
Geist	3	7
Gelenk	3	18
Gemeinde	0	0
Gemeinschaft	0	0
Genauigkeit	0	0
Genosse	0	0
Gerät	28	311
Gericht	0	82
Geschäft	0	0
Geschirrtuch	0	0
Geselle	0	0
Gesellschaftsspiel	12	0
Gesetz	0	12
Gesicht	0	0
Gesinnung	0	0
Gespräch	57	3
Getränk	29	10
Gewalttat	0	134
Gewebe	0	1
Gewinn	0	0
Giftzahn	0	0
Gläubiger	11	4
Golfspieler	0	0
Grab	2	14
Gras	0	0
Grausamkeit	0	1
Grund	6	0
Grundschule	0	8
Gummibärchen	45	0
Gurke	63	1
Gut	387	1
Haar	1	0
