modelPred,target,sent2,gender,sent1,corrAns,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,testsaetze.thisRepN,testsaetze.thisTrialN,testsaetze.thisN,testsaetze.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,deutschnativ.keys,deutschnativ.corr,deutschnativ.rt,reaction_2.keys,reaction_2.corr,reaction_2.rt,reaction.keys,reaction.corr,reaction.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,d,0,10.796628952,,,,,,,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,0,0,0,1,,,,,,,,j,0,7.22286009789,,,,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,0,1,1,3,,,,,,,,j,0,3.90560078621,,,,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,0,2,2,2,,,,,,,,f,0,5.62570095062,,,,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,0,3,3,0,,,,,,,,j,0,6.05835008621,,,,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
drop,1,Beträchtliche Stücke saftiges Fleisch wurden serviert.,mn,Beträchtliche Stücke saftigen Fleischs wurden serviert.,l,,,,,,,,,0,0,0,6,,,,,,,j,0,8.15689086914,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
level,1,100g brauner Zucker sind auf jeden Fall genug.,mn,100g braunen Zuckers sind auf jeden Fall genug.,r,,,,,,,,,0,1,1,0,,,,,,,j,0,5.67163491249,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
level,1,Wir haben jede Menge alten Kram aus dem Haus geschafft.,mn,Wir haben jede Menge alten Krams aus dem Haus geschafft.,r,,,,,,,,,0,2,2,2,,,,,,,j,0,6.57519006729,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
x,0,Bei der Feier gedachte man der Soldaten des zweiten Weltkriegs.,x,Bei der Feier gedachte man den Soldaten des zweiten Weltkriegs.,x,,,,,,,,,0,3,3,17,,,,,,,f,0,7.55915689468,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
level,1,Man machte mal wieder viel Lärm um jede Menge heißer Luft.,fem,Man machte mal wieder viel Lärm um jede Menge heiße Luft.,l,,,,,,,,,0,4,4,11,,,,,,,j,0,11.9459378719,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
x,0,Außer den Bürgermeister beschuldigten die Störenfriede jeden.,x,Außer dem Bürgermeister beschuldigten die Störenfriede jeden.,x,,,,,,,,,0,5,5,33,,,,,,,f,0,11.0303452015,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
drop,1,Mit dieser Methode kann man eine große Menge dunkle Materie erzeugen.,fem,Mit dieser Methode kann man eine große Menge dunkler Materie erzeugen.,l,,,,,,,,,0,6,6,12,,,,,,,f,0,7.79273796082,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
x,0,Am äußersten Rand der Stadt liegen die Slums.,x,Am äußeren Rand der Stadt liegen die Slums.,x,,,,,,,,,0,7,7,23,,,,,,,j,0,8.72416996956,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,,,,,0,8,8,36,,,,,,,f,0,4.7249879837,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
level,1,Er stellt die Masse mit einem Esslöffel warmen Honigs her.,mn,Er stellt die Masse mit einem Esslöffel warmem Honig her.,l,,,,,,,,,0,9,9,3,,,,,,,f,0,7.85953903198,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
level,1,Die Schule verbraucht 260.000 Kilowattstunden elektrische Energie.,fem,Die Schule verbraucht 260.000 Kilowattstunden elektrischer Energie.,r,,,,,,,,,0,10,10,10,,,,,,,f,0,6.44180798531,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
level,1,Ich nehme eine große Packung salziger Wurst mit an den See.,fem,Ich nehme eine große Packung salzige Wurst mit an den See.,l,,,,,,,,,0,11,11,9,,,,,,,f,0,11.9128410816,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
x,0,Außer dem Essen kann ich leider nichts mitbringen.,x,Außer das Essen kann ich leider nichts mitbringen.,x,,,,,,,,,0,12,12,32,,,,,,,j,0,5.62456917763,2017_Jan_17_1347,60.0041773843,2afc,001,Di14,
