modelPred,target,sent2,gender,sent1,corrAns,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,testsaetze.thisRepN,testsaetze.thisTrialN,testsaetze.thisN,testsaetze.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,deutschnativ.keys,deutschnativ.corr,deutschnativ.rt,reaction_2.keys,reaction_2.corr,reaction_2.rt,reaction.keys,reaction.corr,reaction.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,d,0,11.3691990376,,,,,,,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,0,0,0,1,,,,,,,,f,0,9.55980110168,,,,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,0,1,1,3,,,,,,,,j,0,9.15656304359,,,,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,0,2,2,0,,,,,,,,f,0,14.0193419456,,,,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,0,3,3,2,,,,,,,,f,0,8.7032558918,,,,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
level,1,Wir haben jede Menge alten Kram aus dem Haus geschafft.,mn,Wir haben jede Menge alten Krams aus dem Haus geschafft.,r,,,,,,,,,0,0,0,2,,,,,,,j,0,12.1743631363,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
x,0,In der Tat wissen wir von den Problemen im Landkreis.,x,In der Tat wissen wir um die Probleme im Landkreis.,x,,,,,,,,,0,1,1,22,,,,,,,j,0,9.96158003807,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
level,1,100g brauner Zucker sind auf jeden Fall genug.,mn,100g braunen Zuckers sind auf jeden Fall genug.,r,,,,,,,,,0,2,2,0,,,,,,,j,0,9.32405185699,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,,,,,0,3,3,36,,,,,,,j,0,9.84451913834,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
x,0,Am äußersten Rand der Stadt liegen die Slums.,x,Am äußeren Rand der Stadt liegen die Slums.,x,,,,,,,,,0,4,4,23,,,,,,,f,0,7.36277604103,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
drop,1,Dort türmen sich Berge schmutziger Wäsche.,fem,Dort türmen sich Berge schmutzige Wäsche.,r,,,,,,,,,0,5,5,13,,,,,,,j,0,10.4310600758,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
x,0,Sie hatte keine Lust auf noch eine Sammlung dumme Sprüche.,x,Sie hatte keine Lust auf noch eine Sammlung dummer Sprüche.,x,,,,,,,,,0,6,6,30,,,,,,,f,0,9.27413606644,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
x,0,Außer dem Essen kann ich leider nichts mitbringen.,x,Außer das Essen kann ich leider nichts mitbringen.,x,,,,,,,,,0,7,7,32,,,,,,,j,0,9.50788497925,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
x,0,Er wurde trotz des bekannten Skandal wiedergewählt.,x,Er wurde trotz dem bekannten Skandal wiedergewählt.,x,,,,,,,,,0,8,8,16,,,,,,,j,0,13.8857989311,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
drop,1,Beträchtliche Stücke saftiges Fleisch wurden serviert.,mn,Beträchtliche Stücke saftigen Fleischs wurden serviert.,l,,,,,,,,,0,9,9,6,,,,,,,f,0,8.82079696655,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
x,0,Mit heißem leckerem Tee wärmten wir uns auf.,x,Mit heißem leckeren Tee wärmten wir uns auf.,x,,,,,,,,,0,10,10,18,,,,,,,f,0,8.67019104958,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
x,0,Unter wildem ausgelassenem Gegröle randalierten wieder die Abiturienten.,x,Unter wildem ausgelassenen Gegröle randalierten wieder die Abiturienten.,x,,,,,,,,,0,11,11,27,,,,,,,f,0,17.037817955,2017_Jan_19_1248,59.6901007571,2afc,001,Do13,
