modelPred,target,sent2,gender,sent1,corrAns,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,testsaetze.thisRepN,testsaetze.thisTrialN,testsaetze.thisN,testsaetze.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,deutschnativ.keys,deutschnativ.corr,deutschnativ.rt,reaction_2.keys,reaction_2.corr,reaction_2.rt,reaction.keys,reaction.corr,reaction.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,d,0,11.4541349411,,,,,,,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,0,0,0,2,,,,,,,,j,0,7.63021802902,,,,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,0,1,1,0,,,,,,,,f,0,4.42746400833,,,,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,0,2,2,3,,,,,,,,j,0,3.03578615189,,,,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,0,3,3,1,,,,,,,,j,0,5.03242397308,,,,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
level,1,Er stellt die Masse mit einem Esslöffel warmen Honigs her.,mn,Er stellt die Masse mit einem Esslöffel warmem Honig her.,l,,,,,,,,,0,0,0,3,,,,,,,j,0,8.8385848999,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
drop,1,Es wurden Eimer roter Farbe geschleudert.,fem,Es wurden Eimer rote Farbe geschleudert.,r,,,,,,,,,0,1,1,15,,,,,,,j,0,5.63476085663,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Sie verlassen wegen des schönen Wetters die Wohnung.,x,Sie verlassen wegen dem schönen Wetter die Wohnung.,x,,,,,,,,,0,2,2,19,,,,,,,j,0,3.90815806389,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Die Kinder fuhren mit solchen unzureichenden Helmen zur Schule.,x,Die Kinder fuhren mit solch unzureichenden Helmen zur Schule.,x,,,,,,,,,0,3,3,29,,,,,,,f,0,7.19498896599,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Mit heißem leckerem Tee wärmten wir uns auf.,x,Mit heißem leckeren Tee wärmten wir uns auf.,x,,,,,,,,,0,4,4,18,,,,,,,f,0,6.13799595833,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Die Autos beider beteiligten Fahrer wurden verschrottet.,x,Die Autos beider beteiligter Fahrer wurden verschrottet.,x,,,,,,,,,0,5,5,28,,,,,,,f,0,7.5959789753,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Unter wildem ausgelassenem Gegröle randalierten wieder die Abiturienten.,x,Unter wildem ausgelassenen Gegröle randalierten wieder die Abiturienten.,x,,,,,,,,,0,6,6,27,,,,,,,f,0,7.04415893555,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,In der Tat wissen wir von den Problemen im Landkreis.,x,In der Tat wissen wir um die Probleme im Landkreis.,x,,,,,,,,,0,7,7,22,,,,,,,f,0,5.45074295998,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
level,1,Die Schule verbraucht 260.000 Kilowattstunden elektrische Energie.,fem,Die Schule verbraucht 260.000 Kilowattstunden elektrischer Energie.,r,,,,,,,,,0,8,8,10,,,,,,,f,0,7.54641199112,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
drop,1,Bei unserer Ankunft stand ein Glas köstlichen Weins schon auf dem Tisch.,mn,Bei unserer Ankunft stand ein Glas köstlicher Wein schon auf dem Tisch.,r,,,,,,,,,0,9,9,7,,,,,,,j,0,4.89713788033,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
level,1,Ich nehme eine große Packung salziger Wurst mit an den See.,fem,Ich nehme eine große Packung salzige Wurst mit an den See.,l,,,,,,,,,0,10,10,9,,,,,,,f,0,5.50098204613,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,"Es waren nur kleinere Delikte, derer sie überführt wurden.",x,"Es waren nur kleinere Delikte, deren sie überführt wurden.",x,,,,,,,,,0,11,11,31,,,,,,,j,0,5.78612995148,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Außer dem Essen kann ich leider nichts mitbringen.,x,Außer das Essen kann ich leider nichts mitbringen.,x,,,,,,,,,0,12,12,32,,,,,,,j,0,3.63881206512,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
drop,1,Nicht ein Tropfen königlichen Bluts hat den Boden berührt.,mn,Nicht ein Tropfen königliches Blut hat den Boden berührt.,r,,,,,,,,,0,13,13,5,,,,,,,f,0,5.2490439415,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Außer den Bürgermeister beschuldigten die Störenfriede jeden.,x,Außer dem Bürgermeister beschuldigten die Störenfriede jeden.,x,,,,,,,,,0,14,14,33,,,,,,,f,0,8.80400919914,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
drop,1,Viele Tonnen gebrauchte Kleidung landen im Müll.,fem,Viele Tonnen gebrauchter Kleidung landen im Müll.,l,,,,,,,,,0,15,15,14,,,,,,,j,0,8.50331497192,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Die Stimmung stieg dank wunderbarem roten Wein.,x,Die Stimmung stieg dank wunderbarem rotem Wein.,x,,,,,,,,,0,16,16,25,,,,,,,j,0,4.91352701187,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,"Die Uhr schlug sporadisch, obwohl sie defekt war.",x,"Die Uhr schlug sporadisch, obschon sie defekt war.",x,,,,,,,,,0,17,17,38,,,,,,,j,0,4.47745704651,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Das würde gepasst haben.,x,Das hätte gepasst.,x,,,,,,,,,0,18,18,21,,,,,,,f,0,4.04208612442,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,,,,,0,19,19,34,,,,,,,f,0,5.6524310112,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
level,1,Wir haben jede Menge alten Kram aus dem Haus geschafft.,mn,Wir haben jede Menge alten Krams aus dem Haus geschafft.,r,,,,,,,,,0,20,20,2,,,,,,,j,0,5.55109906197,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
drop,1,Dort türmen sich Berge schmutziger Wäsche.,fem,Dort türmen sich Berge schmutzige Wäsche.,r,,,,,,,,,0,21,21,13,,,,,,,j,0,2.95244002342,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
level,1,Sie verbrauchen 60 Liter sprudelnden Trinkwassers.,mn,Sie verbrauchen 60 Liter sprudelndes Trinkwasser.,l,,,,,,,,,0,22,22,1,,,,,,,j,0,5.48390483856,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Am äußersten Rand der Stadt liegen die Slums.,x,Am äußeren Rand der Stadt liegen die Slums.,x,,,,,,,,,0,23,23,23,,,,,,,f,0,9.97751808167,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Die Gäste suchen die Wohnung des Herrn Gantenbeins.,x,Die Gäste suchen die Wohnung des Herrn Gantenbein.,x,,,,,,,,,0,24,24,20,,,,,,,f,0,8.98871088028,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
drop,1,Mit dieser Methode kann man eine große Menge dunkle Materie erzeugen.,fem,Mit dieser Methode kann man eine große Menge dunkler Materie erzeugen.,l,,,,,,,,,0,25,25,12,,,,,,,f,0,7.21136808395,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Im Fernrohr sahen wir den roten Planeten ganz deutlich.,x,Im Fernrohr sahen wir den roten Planet ganz deutlich.,x,,,,,,,,,0,26,26,26,,,,,,,j,0,3.77334189415,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
level,1,In den Kakao gehören immer 350ml warme Milch.,fem,In den Kakao gehören immer 350ml warmer Milch.,r,,,,,,,,,0,27,27,8,,,,,,,f,0,5.53399085999,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Sie hatte keine Lust auf noch eine Sammlung dumme Sprüche.,x,Sie hatte keine Lust auf noch eine Sammlung dummer Sprüche.,x,,,,,,,,,0,28,28,30,,,,,,,f,0,6.32288813591,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,,,,,0,29,29,37,,,,,,,j,0,2.29737114906,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Er wurde trotz des bekannten Skandal wiedergewählt.,x,Er wurde trotz dem bekannten Skandal wiedergewählt.,x,,,,,,,,,0,30,30,16,,,,,,,j,0,3.30449795723,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
level,1,Man machte mal wieder viel Lärm um jede Menge heißer Luft.,fem,Man machte mal wieder viel Lärm um jede Menge heiße Luft.,l,,,,,,,,,0,31,31,11,,,,,,,f,0,8.13382101059,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
x,0,Wir hatten in Dänemark einen gelegentlichen Besucher.,x,Wir hatten in Dänemark gelegentlich einen Besucher.,x,,,,,,,,,0,32,32,24,,,,,,,f,0,7.69820189476,2017_Jan_20_1701,60.1811905083,2afc,001,Fr17,
