modelPred,target,sent2,gender,sent1,corrAns,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,testsaetze.thisRepN,testsaetze.thisTrialN,testsaetze.thisN,testsaetze.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,deutschnativ.keys,deutschnativ.corr,deutschnativ.rt,reaction_2.keys,reaction_2.corr,reaction_2.rt,reaction.keys,reaction.corr,reaction.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,d,0,8.46907091141,,,,,,,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,0,0,0,3,,,,,,,,j,0,8.78810191154,,,,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,0,1,1,0,,,,,,,,f,0,13.1976010799,,,,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,0,2,2,1,,,,,,,,j,0,9.29050803185,,,,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,0,3,3,2,,,,,,,,f,0,5.45167016983,,,,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
x,0,Mit heißem leckerem Tee wärmten wir uns auf.,x,Mit heißem leckeren Tee wärmten wir uns auf.,x,,,,,,,,,0,0,0,18,,,,,,,f,0,17.976858139,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
level,1,Sie verbrauchen 60 Liter sprudelnden Trinkwassers.,mn,Sie verbrauchen 60 Liter sprudelndes Trinkwasser.,l,,,,,,,,,0,1,1,1,,,,,,,j,0,18.4804849625,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
x,0,Sie verlassen wegen des schönen Wetters die Wohnung.,x,Sie verlassen wegen dem schönen Wetter die Wohnung.,x,,,,,,,,,0,2,2,19,,,,,,,j,0,10.4814639091,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
x,0,In der Tat wissen wir von den Problemen im Landkreis.,x,In der Tat wissen wir um die Probleme im Landkreis.,x,,,,,,,,,0,3,3,22,,,,,,,j,0,10.5150120258,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
x,0,Außer dem Essen kann ich leider nichts mitbringen.,x,Außer das Essen kann ich leider nichts mitbringen.,x,,,,,,,,,0,4,4,32,,,,,,,j,0,10.0792951584,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
x,0,Das würde gepasst haben.,x,Das hätte gepasst.,x,,,,,,,,,0,5,5,21,,,,,,,f,0,2.88479495049,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,,,,,0,6,6,34,,,,,,,f,0,10.5148200989,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,,,,,0,7,7,36,,,,,,,f,0,6.27214598656,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
drop,1,Beträchtliche Stücke saftiges Fleisch wurden serviert.,mn,Beträchtliche Stücke saftigen Fleischs wurden serviert.,l,,,,,,,,,0,8,8,6,,,,,,,f,0,16.1156358719,2017_Jan_18_1303,59.8569758863,2afc,001,Mi13,
