modelPred,target,sent2,gender,sent1,corrAns,intros.thisRepN,intros.thisTrialN,intros.thisN,intros.thisIndex,testsaetze.thisRepN,testsaetze.thisTrialN,testsaetze.thisN,testsaetze.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,deutschnativ.keys,deutschnativ.corr,deutschnativ.rt,reaction_2.keys,reaction_2.corr,reaction_2.rt,reaction.keys,reaction.corr,reaction.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,d,0,9.9278280735,,,,,,,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,0,0,0,3,,,,,,,,j,0,10.378123045,,,,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,0,1,1,1,,,,,,,,f,0,8.7432949543,,,,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Wir übergaben das Auto dem Mann mehr als gerne.,x,Wir übergaben dem Mann das Auto mehr als gerne.,x,,,,,0,2,2,0,,,,,,,,j,0,19.8019139767,,,,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,0,3,3,2,,,,,,,,j,0,10.2780330181,,,,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Sie verlassen wegen des schönen Wetters die Wohnung.,x,Sie verlassen wegen dem schönen Wetter die Wohnung.,x,,,,,,,,,0,0,0,19,,,,,,,f,0,9.87780594826,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Wir hatten in Dänemark einen gelegentlichen Besucher.,x,Wir hatten in Dänemark gelegentlich einen Besucher.,x,,,,,,,,,0,1,1,24,,,,,,,f,0,20.0021290779,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,"Es hat uns die Stimmung ziemlich vermiest, dass es regnete.",x,"Dass es regnete, hat uns die Stimmung ziemlich vermiest.",x,,,,,,,,,0,2,2,36,,,,,,,j,0,7.14245486259,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Im Fernrohr sahen wir den roten Planeten ganz deutlich.,x,Im Fernrohr sahen wir den roten Planet ganz deutlich.,x,,,,,,,,,0,3,3,26,,,,,,,f,0,22.5019629002,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,"Die Uhr schlug sporadisch, obwohl sie defekt war.",x,"Die Uhr schlug sporadisch, obschon sie defekt war.",x,,,,,,,,,0,4,4,38,,,,,,,j,0,17.6661520004,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Außer den Bürgermeister beschuldigten die Störenfriede jeden.,x,Außer dem Bürgermeister beschuldigten die Störenfriede jeden.,x,,,,,,,,,0,5,5,33,,,,,,,f,0,15.4307019711,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
level,1,Man machte mal wieder viel Lärm um jede Menge heißer Luft.,fem,Man machte mal wieder viel Lärm um jede Menge heiße Luft.,l,,,,,,,,,0,6,6,11,,,,,,,f,0,22.7207288742,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
level,1,Er stellt die Masse mit einem Esslöffel warmen Honigs her.,mn,Er stellt die Masse mit einem Esslöffel warmem Honig her.,l,,,,,,,,,0,7,7,3,,,,,,,j,0,22.119382143,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
level,1,100g brauner Zucker sind auf jeden Fall genug.,mn,100g braunen Zuckers sind auf jeden Fall genug.,r,,,,,,,,,0,8,8,0,,,,,,,j,0,8.84375596046,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Am äußersten Rand der Stadt liegen die Slums.,x,Am äußeren Rand der Stadt liegen die Slums.,x,,,,,,,,,0,9,9,23,,,,,,,f,0,10.4949347973,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Außer dem Essen kann ich leider nichts mitbringen.,x,Außer das Essen kann ich leider nichts mitbringen.,x,,,,,,,,,0,10,10,32,,,,,,,j,0,9.42731595039,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,"Die Uhr, die er trug, war aus Japan.",x,"Die Uhr war aus Japan, die er trug.",x,,,,,,,,,0,11,11,37,,,,,,,j,0,6.25852179527,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,"Es waren nur kleinere Delikte, derer sie überführt wurden.",x,"Es waren nur kleinere Delikte, deren sie überführt wurden.",x,,,,,,,,,0,12,12,31,,,,,,,j,0,22.4705791473,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
level,1,Ich nehme eine große Packung salziger Wurst mit an den See.,fem,Ich nehme eine große Packung salzige Wurst mit an den See.,l,,,,,,,,,0,13,13,9,,,,,,,j,0,14.6480610371,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Die Kinder fuhren mit solchen unzureichenden Helmen zur Schule.,x,Die Kinder fuhren mit solch unzureichenden Helmen zur Schule.,x,,,,,,,,,0,14,14,29,,,,,,,j,0,20.519092083,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Die Gäste suchen die Wohnung des Herrn Gantenbeins.,x,Die Gäste suchen die Wohnung des Herrn Gantenbein.,x,,,,,,,,,0,15,15,20,,,,,,,j,0,19.5358128548,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Die Stimmung stieg dank wunderbarem roten Wein.,x,Die Stimmung stieg dank wunderbarem rotem Wein.,x,,,,,,,,,0,16,16,25,,,,,,,j,0,19.7155628204,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Bei der Feier gedachte man der Soldaten des zweiten Weltkriegs.,x,Bei der Feier gedachte man den Soldaten des zweiten Weltkriegs.,x,,,,,,,,,0,17,17,17,,,,,,,j,0,11.1968171597,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
drop,1,Dort türmen sich Berge schmutziger Wäsche.,fem,Dort türmen sich Berge schmutzige Wäsche.,r,,,,,,,,,0,18,18,13,,,,,,,j,0,17.4334549904,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
drop,1,Mit dieser Methode kann man eine große Menge dunkle Materie erzeugen.,fem,Mit dieser Methode kann man eine große Menge dunkler Materie erzeugen.,l,,,,,,,,,0,19,19,12,,,,,,,f,0,21.9046390057,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Die Autos beider beteiligten Fahrer wurden verschrottet.,x,Die Autos beider beteiligter Fahrer wurden verschrottet.,x,,,,,,,,,0,20,20,28,,,,,,,j,0,21.4697029591,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Er wurde trotz des bekannten Skandal wiedergewählt.,x,Er wurde trotz dem bekannten Skandal wiedergewählt.,x,,,,,,,,,0,21,21,16,,,,,,,j,0,12.029006958,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
level,1,Die Schule verbraucht 260.000 Kilowattstunden elektrische Energie.,fem,Die Schule verbraucht 260.000 Kilowattstunden elektrischer Energie.,r,,,,,,,,,0,22,22,10,,,,,,,j,0,13.2135078907,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Das würde gepasst haben.,x,Das hätte gepasst.,x,,,,,,,,,0,23,23,21,,,,,,,f,0,7.96108913422,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
drop,1,Wir mussten uns durch Büschel frisches Gras zwängen.,mn,Wir mussten uns durch Büschel frischen Grases zwängen.,l,,,,,,,,,0,24,24,4,,,,,,,f,0,17.9002900124,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
drop,1,Beträchtliche Stücke saftiges Fleisch wurden serviert.,mn,Beträchtliche Stücke saftigen Fleischs wurden serviert.,l,,,,,,,,,0,25,25,6,,,,,,,f,0,13.6472439766,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,In meinem Studium habe ich mehr als einmal Rilke gelesen.,x,In meinem Studium las ich mehr als einmal Rilke.,x,,,,,,,,,0,26,26,35,,,,,,,f,0,15.4982469082,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
x,0,Mit heißem leckerem Tee wärmten wir uns auf.,x,Mit heißem leckeren Tee wärmten wir uns auf.,x,,,,,,,,,0,27,27,18,,,,,,,f,0,10.7284739017,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
drop,1,Es wurden Eimer roter Farbe geschleudert.,fem,Es wurden Eimer rote Farbe geschleudert.,r,,,,,,,,,0,28,28,15,,,,,,,j,0,11.3958017826,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
drop,1,Bei unserer Ankunft stand ein Glas köstlichen Weins schon auf dem Tisch.,mn,Bei unserer Ankunft stand ein Glas köstlicher Wein schon auf dem Tisch.,r,,,,,,,,,0,29,29,7,,,,,,,j,0,10.3614780903,2017_Jan_16_1655,60.0600270351,2afc,001,Mo17,
