Lemma	Nn	Ndn
Schnapsglas	28	0
Grosspackung	3	0
Tube	63	0
Tröpfchen	327	9
Ost-Mark	1	0
Schluck	4982	241
Schlauch	75	0
Ster	90	0
Feinunze	458	0
Fläschchen	244	4
Hektar	621	0
Zylinder	182	1
Euro	557	26
Biss	289	9
Barren	57	0
Barrel	743	1
Kanister	224	0
Eimer	2162	11
Schöpflöffel	7	2
Rest	581	594
Dose	1526	3
Büschel	102	4
Dosis	93	29
Fass	1211	13
Kasten	960	4
Suppenlöffel	1	0
Lage	146	10
Mikrogramm	2	0
Morgen	63	0
Suppenkelle	1	0
Berg	213	5
Spur	81	1
Unmasse	2	0
Säckchen	27	0
Volumen	1	0
Quantum	25	0
Raummeter	86	0
Gr.	11	0
Schiffsladung	13	0
Becher	2164	12
Teelöffel	2635	14
Tankfüllung	25	0
Packung	390	7
Gesamtmenge	1	7
Schüssel	578	1
Tupfer	20	2
Krug	636	6
Tafel	2459	2
Giesskanne	38	0
Schnitzer	4	0
Schwall	251	7
Korn	10	1
Schippe	46	0
Brise	4	0
Brunnen	8	0
Korb	63	2
Moment	3	5
Pack	49	0
Liter-Flasche	5	0
Messlöffel	10	0
Mass	1210	6
Tropf	4	0
Minimenge	1	0
Weinfass	1	0
Palette	83	4
Lore	1	0
Trommel	11	0
Kubikzentimeter	34	0
Atom	6	28
Kelle	53	1
Hektoliter	430	0
Mindestmenge	16	2
Kostprobe	1	7
Wochenration	6	0
Stunde	198	0
Probe	2	1
Handkarren	1	0
Meter	1925	19
Gewichtsanteil	1	0
Restbetrag	1	2
Riegel	129	2
Tablett	1	0
Kochtopf	10	0
Büchse	128	2
Urne	2	14
Kännchen	183	0
Konservendose	1	0
Bisschen	6	0
Weidefläche	1	0
Mützchen	12	0
Kante	138	1
Megawatt	311	0
Lache	20	18
Extraportion	231	0
Trinkhorn	2	0
Millimeter	1669	13
LKW-Ladung	14	0
Kilogramm	10953	74
Spitze	1	0
Strahl	55	12
Kiste	2217	10
Schuss	746	5
Tankwagen	2	0
Krümel	79	7
Spritze	49	11
Überdosen	9	0
Bisslein	3	0
Beutel	175	1
Durchmesser	2	0
Flecken	671	234
Staubkorn	6	3
Doppelzentner	10	0
Six-Pack	18	0
Unmenge	465	4
Klotz	8	0
Plastikkanister	1	0
DDR-Mark	1	0
Sack	2314	7
Brocken	120	7
Bierglas	1	0
Körnchen	140	6
€	251	7
Sekunde	19	2
Mundvoll	2	0
Gewichtsprozent	10	0
Einheit	83	54
Kessel	41	0
Päckchen	285	1
Karre	1	0
Kapsel	2	1
Pfütze	18	1
Milligramm	555	7
Mikroliter	71	0
Viertelliter	103	0
Gramm	32550	146
Block	25	2
Basis	4	1
Übermass	17	1
Groschen	6	0
Schälchen	146	2
Quadratmeter	441	22
Riesenportion	23	0
Schachtel	14	0
Flöckchen	12	0
Bund	3	0
Esslöffel	2329	33
Jahreskontingent	1	0
Deziliter	71	1
Kilowatt	813	5
Häufchen	287	1
Deckschicht	1	0
Bündel	86	3
Handvoll	683	5
Gallone	179	0
