Leftcontext	Match	Rightcontext	Measurecase	Kindlemma	Kindgender	Kindcase	Kindfreq	Measurelemma	Measuregender	Measurenumber	Measureclass	Measurefreq	Minus1pos	Genitives	Badness	Url	Originalsort
Für 4 - 5 Monate ist die Fütterungsempfehlung 2 Portionsbeutel + 15 g -20	g Trocken Futter	( Royal Canin Kitten ) .	False	Futter	Neut	?	4.4272328591	g	Neut	Pl	Weight	4.7338534288	Card	7	5	http://forum.zooplus.de/archive/index.php/t-75676.html	5625
Gewürzmischung für 1 kg Fleisch -25 g NPS -10 g Traubenzucker -10	g schwarzer Pfeffer	-10 g Kräuter der Provence -5 g Wacholderbeeren -2 g Koriander -1 g Piment -1 g Nelken -4 Lorbeerblätter -2 Knoblauchzehen Nach der Massage ab in die Tüten , Luft abgesaugt und dann in den Kühlschrank .	Nom	Pfeffer	Masc	Nom	3.9929156471	g	Neut	Pl	Weight	4.7338534288	Card	7	3	http://www.anglerboard.de/board/archive/index.php?t-138993.html	4872
Bodenbeschaffenheit : 20 cm Mutterboden , bis 4 m magerer Lehm , von 4 -9	m heller Sand	wie im Buddelkasten oder am Strand .	Dat	Sand	Masc	Nom	4.4435696241	m	Masc	Pl	Length	5.240433421	Card	6	4	http://www.brunnenbau-forum.de/1036-stein-10m-tiefe.html	5679
Das 5 -6	mm dicke Eisen	war glatt durchtrennt .	Nom	Eisen	Neut	?	4.128412194	mm	Masc	Pl	Length	4.8946184125	Card	3	2	http://www.reinkarnation.de/html/spuk.html	582
Das 5 -6	mm dicke Eisen	war glatt durchtrennt .	False	Eisen	Neut	?	4.128412194	mm	Masc	Pl	Length	4.8946184125	Card	3	2	http://www.reinkarnation.de/html/spuk.html	1881
Penisring Magic Blue SM -46 RCH -322 Body Attack Powerlifting Gürtel Wunderschöner Bernstein-Pferd-Anhänger mit Sterling Silber Anhänger NEPAL Silber mit Koralle und Türkis LP -275 Secura Sex 4 fun Sortiment 24er RP -5	kg SEX-Fantasies Leder	Augenmaske Traumhafte Ohrstecker aus Silber und Bernstein - Hardcore Shop - Powerman 100 % Egg Protein - 750 g Dymatize Super Amino 4800 - 300 Kaps .	Nom	Leder	Neut	Nomacc	4.1265145348	kg	Neut	Pl	Weight	4.7316548309	Card	7	9	http://www.bodybuildingnet.de/viewtopic_84982.html	511
Die ganze Masse als in etwa 4 -5	cm dicke Wurst	formen , und auf Klarsichtfolie legen .	False	Wurst	Fem	Str	3.9692481267	cm	Masc	Pl	Capacity	5.0287729007	Card	7	4	http://www.maroczone.de/forum/archive/index.php/t-801-p-2.html	3495
Z.b. Winkelturm ca 4 -5	cm dicker Stahl	Handelt es sich um ein Privathaus , also einen LS-Keller , so kam ziemlich alles zum Einsatz , je nach Dringlichkeit .	False	Stahl	Masc	Nom	4.097048965	cm	Masc	Pl	Capacity	5.0287729007	Card	6	6	http://www.schatzsucher.de/Foren/archive/index.php?t-12005.html	4492
Folgendes Ergebnis kann ich nachweisen : -2,4	kg reines Fett	in neun Tagen Erhaltung der Muskulatur und leichter Aufbau Erhaltung von Körperwasser uriblank Auf der Waage hat sich " leider " nicht viel getan , doch am Bauch zeichnen sich die Konturen eines sixpack ab , was für mich das größte Ergebnis war .	Nom	Fett	Neut	Nomacc	4.2780810669	kg	Neut	Pl	Weight	4.7316548309	Card	6	4	http://www.fitness-guru-forum.de/fragen-muskelaufbau-fettverbrennung-allgemein/309-fettverbrennung-und-muskelaufbau-gleichzeitig-print.html	1926
Bei uns bekannt ist vielleicht nur das Exemplar , was Sie links nebenan sehen , die reife Kokosnuß mit dunkelbrauner Schale und 1 -2	cm festem Fleisch	.	Dat	Fleisch	Neut	Dat	4.603079386	cm	Masc	Pl	Capacity	5.0287729007	Card	3	5	http://www.fruitlife.de/encyclopedia/coco-de.htm	1451
Die Erde sammelt jährlich mehrere 1 ' 000	Tonnen kosmischen Staub	auf .	Acc	Staub	Masc	Acc	4.1267416542	Tonne	Fem	Pl	Weight	4.4352549304	Card	2	6	http://www.175.unibe.ch/de/weltraum/glossar.html	1
Nach Greenpeace-Angaben sind bereits vor der EU-Genehmigung in Europa etwa 100 000	Tonnen genveränderter Mais	illegal an Land gebracht worden .	Nom	Mais	Masc	Nom	3.8289433197	Tonne	Fem	Pl	Weight	4.4352549304	Card	0	4	http://www.netlink.de/gen/Zeitung/1219b.htm	627
Größere Anbauflächen gibt es bisher nur in Spanien , wo 2004 auf 58 ' 000	ha insektenresistenter Mais	angebaut wurde Abb. 8) .	False	Mais	Masc	Nom	3.8289433197	ha	Masc	Pl	Square	4.2562220886	Card	1	4	http://www.biotechpflanzen.de/HTML/Mais/Biotechmais.html	657
Gleichwohl müsse eine Möglichkeit der Endlagerung gefunden werden , weil derzeit schon 140 000	Kubikmeter radioaktiver Müll	an den Kraftwerken lagere .	Nom	Müll	Masc	Nom	4.2370860804	Kubikmeter	Masc	Pl	Capacity	3.7249309142	Card	2	6	http://www.nordsee-zeitung.de/region/cuxland_artikel,-Details-aus-Asse-Ausschuss-_arid,379640.html	737
450 000	Tonnen hochradioaktiver Müll	werden jährlich in Deutschland produziert , ohne dass es hierfür eine sichere Entsorgung gibt .	Nom	Müll	Masc	Nom	4.2370860804	Tonne	Fem	Pl	Weight	4.4352549304	Card	4	2	http://www.spd-elsfleth.de/daniel02.htm	748
Kritiker sehen darin ein Verschieben des Problems auf künftige Generationen und womöglich ein Vehikel , um die 29 000	Tonnen hochradioaktiven Müll	aus deutschen Atomanlagen nach einer Langzeitzwischenlagerung im Ausland entsorgen zu können - zum Beispiel für viele Milliarden in Russland .	Acc	Müll	Masc	Acc	4.2370860804	Tonne	Fem	Pl	Weight	4.4352549304	Card	4	5	http://www.spdfraktion.de/cnt/rs/rs_dok/0,,57449,00.html	792
Zusätzlich haben wir 7 ' 000	Tafeln hochwertige Schokolade	verschickt - in Form eines kulinarischen Mailings .	Acc	Schokolade	Fem	Str	4.0753644464	Tafel	Fem	Pl	Portion	4.1996290381	Card	6	2	http://blog.jobs.ch/2013/12/heisser-tee-statt-kalter-kaffee-unsere-weihnachtsgrusse/?replytocom=1481	980
